tSNE1,tSNE2,tSNE3,Label
3.6402214,14.759694,-7.9522204,3
1.2361683,13.605055,-11.856618,3
8.738834,12.820261,-7.9560246,3
5.5657196,9.111985,-4.133123,3
3.3668246,12.472762,-5.333867,3
4.2950244,15.230366,-4.8860755,3
3.4406471,16.595669,-6.616592,3
12.809375,1.8455818,2.1397657,3
0.5331794,-18.386541,-8.019371,2
1.7048877,-14.514081,-7.9259124,2
-2.1507926,-12.33702,-8.088486,2
3.384925,-10.86062,7.801365,1
2.8873518,-11.825063,8.569718,1
4.2107954,-4.250079,6.7942967,1
0.2126376,-14.4225235,8.782027,1
-11.666056,3.8829114,-2.4954479,1
-0.7646195,-10.457165,11.810801,1
-1.5286576,-4.008898,2.729999,1
4.4967155,-7.4181285,11.525635,1
-13.282411,1.2921782,9.6621475,1
-5.456273,-3.9350893,6.4997005,1
1.6575948,-2.9473333,13.622952,1
2.121484,-4.197515,1.3797784,1
-9.862345,2.2611396,4.112486,1
1.4666437,-11.583242,11.644213,1
-6.0773983,2.5544283,-1.8406078,1
4.627332,-16.930658,5.9833503,1
6.050329,8.963025,-6.00716,3
8.332031,14.755739,0.63589495,3
8.66835,6.4446816,-4.5321956,3
14.981021,6.1015477,-3.4554353,3
10.98507,6.9749584,3.104933,3
21.565056,-8.464884,5.661512,3
2.6322567,9.662942,-1.9699184,3
2.6323686,16.036018,-7.8338404,3
14.504766,11.979128,-1.4264779,3
12.040572,5.559023,0.15514219,3
8.717001,4.5207157,4.172026,3
-10.504302,-3.292201,11.600331,1
-9.862761,5.3871965,10.368568,1
-9.226662,7.686922,3.152279,1
-13.393772,-2.2302475,-2.6496809,1
-0.009585774,-6.0334396,14.31788,1
-14.966608,8.241892,-2.443802,1
-13.5191555,3.2441156,-1.7583842,1
-17.20648,8.351983,-2.840349,1
-13.387985,4.406245,-0.029126022,1
-6.784012,7.58235,1.5023465,1
-12.015437,-1.5820919,-1.7130848,1
-6.4974313,7.300928,1.1927936,1
-0.75495994,-4.5981145,1.8120522,1
18.763947,5.47185,3.6254504,3
7.795973,7.9111314,0.6957055,3
11.092645,9.33872,-7.912103,3
4.3667455,7.9684563,-4.730931,3
2.8283913,-11.053577,-15.285867,2
-0.827833,-0.55086124,-16.45918,2
14.32187,10.802635,5.0327725,3
17.309303,0.7431206,5.04751,3
5.4674573,14.168072,-5.1537113,3
15.195486,8.793067,-0.94916904,3
8.5831995,10.414782,4.507541,3
2.1731575,-3.029354,-16.273819,2
-0.7076778,13.240566,-6.898162,3
2.7181776,-16.39134,6.3549614,1
-2.450272,-13.868547,-10.936413,2
3.2024224,13.062364,-10.507701,3
-1.6394312,10.401882,-10.328937,3
11.133842,10.931663,4.656691,3
6.1444488,13.499965,-1.5516231,3
14.012591,10.792634,-5.001706,3
1.3805352,-18.60447,6.0218167,1
-0.9763613,-11.268708,13.592783,1
-11.577706,0.76734674,12.172762,1
4.3397756,-8.3885,5.648099,1
-4.7322125,3.7454062,10.357225,1
3.3500931,-10.768086,7.7708387,1
4.1909432,-4.658293,8.125928,1
2.2056444,-11.367439,5.2363596,1
-7.705434,-3.5673022,4.7562,1
-1.7958632,-15.949322,-9.4603615,2
0.5774272,6.995066,-15.897716,2
9.831679,14.069952,0.9858288,3
-3.4092104,0.94530386,-18.37218,2
2.8069682,8.059738,-12.350879,3
-2.567231,-15.692076,-8.797611,2
-0.21700536,-2.4821622,-18.027634,2
-1.3206359,-3.8057604,-16.85266,2
-1.2741873,-3.5199924,-15.816778,2
2.596905,-9.367213,11.073168,1
-0.013057718,-3.5724814,-14.479084,2
0.0077791153,-11.989598,-9.422666,1
-4.4448028,-3.0648427,5.804989,1
-0.05233527,-5.1601124,5.982005,1
-1.4938211,-5.952315,1.0913738,1
-12.625898,6.87553,-3.4829478,1
1.7254933,-8.417319,-14.636853,2
-8.985341,-2.3359747,-0.5416088,1
-0.21867011,-11.113183,-15.449437,2
4.80081,-19.4867,4.056868,1
-3.8365595,-4.3852897,2.4525602,1
3.1788836,-11.528582,-12.37281,2
11.674284,8.175671,5.915987,3
2.7030559,16.848234,-8.675962,3
10.051709,13.204168,0.76675045,3
13.886695,7.8732743,-2.9301612,3
13.090104,11.797586,2.337709,3
10.597533,15.137966,-5.4833574,3
14.1195345,-2.0997534,3.373336,3
1.372636,-1.5574294,10.546612,1
1.7977538,-10.296663,-16.412596,2
-2.7861104,-7.4800525,11.178067,1
-5.8244696,-1.1574149,4.107871,1
23.867624,-9.006531,11.365746,3
1.5579675,-10.475896,-10.450954,2
2.0368338,-6.7455764,-16.584404,2
3.8896215,-5.755441,-14.835075,2
1.6290629,-4.2620454,-16.402452,2
-21.391985,4.8903174,1.071564,1
-25.19747,4.2231045,-4.6466546,1
-25.022058,6.5237823,-7.5206003,1
-14.06455,1.336813,9.375118,1
-22.109034,3.262316,2.797162,1
13.963765,9.445866,1.6922166,3
22.95846,-3.9988108,3.0963433,3
17.014996,-6.2547493,8.785529,3
9.238063,3.0996637,0.38577157,3
